Czas [ms]	 Przyspieszenie obudowy [m/s^2]	 Przyspieszenie eliminatora  [m/s^2]	Prêdkoœæ obrotowa [obr/sek]
16	8,240000	6,100000	0,000000
22	10,510000	8,000000	0,250000
29	10,720000	10,250000	0,250000
35	9,180000	11,610000	0,250000
43	10,370000	11,500000	0,250000
49	10,450000	10,540000	0,250000
56	8,720000	9,910000	0,250000
62	8,050000	8,700000	0,250000
69	8,700000	7,510000	0,250000
75	9,200000	8,090000	0,250000
82	8,360000	9,490000	0,250000
89	9,870000	10,280000	0,250000
96	10,240000	11,000000	0,250000
102	11,810000	11,050000	0,250000
109	11,010000	10,780000	0,250000
115	10,970000	10,860000	0,250000
122	10,750000	10,910000	0,250000
130	8,920000	9,770000	0,250000
136	9,240000	8,060000	0,250000
143	8,660000	7,410000	0,250000
149	8,480000	8,380000	0,250000
156	9,000000	9,640000	0,250000
162	10,840000	11,040000	0,250000
169	10,120000	12,340000	0,250000
176	9,520000	11,630000	0,250000
183	10,010000	8,890000	0,250000
189	10,960000	7,520000	0,250000
196	8,930000	9,060000	0,250000
203	9,220000	9,310000	0,250000
209	10,420000	9,480000	0,250000
217	10,380000	11,450000	0,250000
223	9,710000	12,710000	0,250000
230	9,910000	11,070000	0,250000
236	9,200000	9,180000	0,250000
243	8,280000	8,340000	0,250000
250	8,740000	7,450000	0,250000
257	8,550000	7,520000	0,250000
264	9,580000	9,080000	0,250000
270	9,300000	10,610000	0,250000
277	9,560000	11,210000	0,250000
283	10,950000	11,160000	0,250000
290	10,980000	11,010000	0,250000
297	11,400000	10,680000	0,250000
304	10,560000	10,480000	0,250000
311	9,610000	9,550000	0,250000
317	8,710000	7,870000	0,250000
324	9,900000	7,300000	0,250000
330	8,730000	9,210000	0,250000
337	9,040000	10,200000	0,250000
345	10,230000	10,090000	0,250000
351	9,990000	10,590000	0,250000
358	9,270000	10,680000	0,250000
364	9,790000	10,130000	0,250000
371	10,030000	9,520000	0,250000
378	10,150000	9,680000	0,250000
385	10,200000	9,360000	0,250000
392	10,090000	9,680000	0,250000
398	9,140000	10,680000	0,250000
