time	CH1	CH2	CH3
15	7,810000	7,880000	0,000000
22	9,340000	9,430000	0,000000
29	9,660000	9,730000	0,000000
35	9,700000	9,800000	0,000000
41	9,740000	9,820000	0,000000
49	9,740000	9,840000	0,000000
55	9,750000	9,840000	0,000000
62	9,750000	9,820000	0,000000
68	9,720000	9,870000	0,000000
75	9,740000	9,850000	0,000000
81	9,720000	9,810000	0,000000
89	9,740000	9,830000	0,000000
95	9,740000	9,820000	0,000000
102	9,730000	9,850000	0,000000
109	9,740000	9,830000	0,000000
115	9,730000	9,830000	0,000000
122	9,740000	9,820000	0,000000
129	9,740000	9,820000	0,000000
136	9,730000	9,840000	0,000000
142	9,760000	9,830000	0,000000
149	9,720000	9,810000	0,000000
155	9,720000	9,800000	0,000000
162	9,750000	9,820000	0,000000
168	9,740000	9,810000	0,000000
176	9,740000	9,810000	0,000000
182	9,740000	9,800000	0,000000
189	9,760000	9,810000	0,000000
196	9,740000	9,830000	0,000000
202	9,750000	9,810000	0,000000
209	9,750000	9,810000	0,000000
216	9,720000	9,850000	0,000000
223	9,750000	9,810000	0,000000
229	9,750000	9,810000	0,000000
236	9,740000	9,850000	0,000000
242	9,740000	9,870000	0,000000
249	9,740000	9,830000	0,000000
256	9,740000	9,840000	0,000000
263	9,740000	9,820000	0,000000
269	9,750000	9,870000	0,000000
276	9,730000	9,830000	0,000000
283	9,740000	9,850000	0,000000
289	9,740000	9,800000	0,000000
296	9,770000	9,850000	0,000000
303	9,760000	9,850000	0,000000
310	9,750000	9,830000	0,000000
316	9,740000	9,820000	0,000000
323	9,740000	9,810000	0,000000
329	9,720000	9,830000	0,000000
336	9,700000	9,820000	0,000000
343	9,740000	9,830000	0,000000
350	9,740000	9,830000	0,000000
356	9,740000	9,820000	0,000000
363	9,730000	9,830000	0,000000
370	9,730000	9,800000	0,000000
376	9,740000	9,820000	0,000000
384	9,770000	9,820000	0,000000
390	9,730000	9,870000	0,000000
397	9,750000	9,820000	0,000000
403	9,710000	9,810000	0,000000
410	9,730000	9,830000	0,000000
416	9,710000	9,810000	0,000000
423	9,710000	9,810000	0,000000
430	9,720000	9,800000	0,000000
437	9,720000	9,840000	0,000000
443	9,740000	9,820000	0,000000
450	9,720000	9,810000	0,000000
457	9,730000	9,790000	0,000000
463	9,730000	9,790000	0,000000
471	9,740000	9,820000	0,000000
477	9,730000	9,790000	0,000000
484	9,760000	9,800000	0,000000
490	9,720000	9,800000	0,000000
497	9,720000	9,830000	0,000000
503	9,750000	9,830000	0,000000
510	9,740000	9,840000	0,000000
517	9,710000	9,850000	0,000000
524	9,720000	9,800000	0,000000
530	9,720000	9,830000	0,000000
537	9,730000	9,790000	0,000000
544	9,730000	9,850000	0,000000
550	9,730000	9,830000	0,000000
558	9,760000	9,820000	0,000000
564	9,750000	9,840000	0,000000
571	9,700000	9,820000	0,000000
577	9,720000	9,840000	0,000000
584	9,740000	9,830000	0,000000
590	9,770000	9,830000	0,000000
598	9,770000	9,830000	0,000000
604	9,730000	9,810000	0,000000
611	9,720000	9,830000	0,000000
617	9,750000	9,860000	0,000000
624	9,730000	9,810000	0,000000
631	9,720000	9,790000	0,000000
637	9,720000	9,840000	0,000000
645	9,720000	9,800000	0,000000
651	9,750000	9,830000	0,000000
658	9,760000	9,800000	0,000000
664	9,720000	9,820000	0,000000
671	9,730000	9,830000	0,000000
677	9,750000	9,830000	0,000000
685	9,740000	9,840000	0,000000
691	9,760000	9,840000	0,000000
698	9,740000	9,850000	0,000000
704	9,740000	9,850000	0,000000
